"Toggle navigation","Toggle navigation"
"Tickets List","Tickets List"
"New Ticket","New Ticket"
"Search Tickets","Search Tickets"
"Account","Account"
"Administration","Administration"
"Site Managment","Site Managment"
"Users","Users"
"Departments Management","Departments Management"
"Mail Settings","Mail Settings"
"Payment Setting/List","Payment Setting/List"
"FAQs Management","FAQs Management"
"Reported Tickets","Reported Tickets"
"Logout","Logout"
"Your Session has Expired, please log in again","Your Session has Expired, please log in again"
"Your IP is different from the one where you have logged in, please log in again","Your IP is different from the one where you have logged in, please log in again"
"Invalid Session ID, please log in again","Invalid Session ID, please log in again"
"Invalid Token, please log in again","Invalid Token, please log in again"
"Yes","Yes"
"No","No"
"Name","Name"
"Password","Password"
"Repeat Password","Repeat Password"
"Email","Email"
"Welcome to the support center","Welcome to the support center"
"Hello","Hello"
"You are already logged in, you can start to ask for support","You are already logged in, you can start to ask for support"
"You Are Banned","You Are Banned"
"Your behaviour was not acceptable","Your behaviour was not acceptable"
"Activation","Activation"
"You must activate your account to proceed, please check your inbox","You must activate your account to proceed, please check your inbox"
"Verify Status","Verify Status"
"Send Mail Again","Send Mail Again"
"Login","Login"
"New User","New User"
"Privacy Policy","Privacy Policy"
"Do you accept the Privacy policy?","Do you accept the Privacy policy?"
"Forgotten Password","Forgotten Password"
"An email has been sent to your inbox","An email has been sent to your inbox"
"Please complete all the fields","Please complete all the fields"
"No changes has been made, please wait 5 minutes from your last check","No changes has been made, please wait 5 minutes from your last check"
"A new Email has been sent, the previous code now is invalid","A new Email has been sent, the previous code now is invalid"
"Empty Field or Password mismatch","Empty Field or Password mismatch"
"You must accept our Privacy Policy to proceed","You must accept our Privacy Policy to proceed"
